name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY",2016/4/16,65.4,44.3,53.3,65.4,40.7,52.5,26.4,40.6,0,0,0,,0,0,19.7,12.1,71.3,1030.2,13.4,9.9,313.4,27.1,10,,2016-04-16T06:14:57,2016-04-16T19:37:05,0.31,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
"New York, NY",2019/5/21,23.7,14.3,19,23.7,14.3,19,5.9,43.6,1.159,100,12.5,rain,0,0,101.6,26.1,298.9,1013.5,11.6,16,323.8,28,9,,2019-05-21T05:34:00,2019-05-21T20:11:47,0.59,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York, NY",2020/1/21,3.1,-4.5,-1.6,-0.1,-9,-4.7,-9.9,54.3,0,0,0,,0,0,68.4,16.2,345.6,1030.8,0.4,16,113.8,9.9,5,,2020-01-21T07:15:10,2020-01-21T16:59:42,0.89,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,72055399999,KLGA,DEAN4,KJRB,KNYC,F1417,72503014732"
"New York, NY",2020/4/15,12.7,6.1,9.5,12.7,3.8,8.5,-3.7,41.9,0,0,0,,0,0,38.9,18.3,273.7,1014.7,30.4,16,276.2,24,10,,2020-04-15T06:16:27,2020-04-15T19:36:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
