collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4521660,2022-04-24,16:45,STATEN ISLAND EXPRESSWAY,,,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-74.13892,40.607685
4521759,2022-04-24,4:49,BOSTON ROAD,BRONX PARK EAST,,,,0,0,0,0,0,0,0,0,Unspecified,-73.869896,40.855972
4522226,2022-04-22,17:17,EAST 107 STREET,,,,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,-73.9396,40.790276
4522015,2022-04-24,1:30,,,5610      4 AVENUE,BROOKLYN,11220,0,0,0,0,0,0,0,0,Unspecified,-74.01621,40.642986
4521460,2022-04-24,6:00,,,116-44    234 STREET,QUEENS,11411,0,0,0,0,0,0,0,0,Unsafe Lane Changing,0.0000000,0.0000000
4522156,2022-04-24,21:40,BOSCOBEL PLACE,UNIVERSITY AVENUE,,BRONX,10452,0,0,0,0,0,0,0,0,Alcohol Involvement,-73.92413,40.843906
4521633,2022-04-24,17:45,BRONX RIVER PARKWAY,EAST 233 STREET,,BRONX,10466,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.86183,40.89481
4522124,2022-04-15,6:11,EAST 162 STREET,,,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,0.0000000,0.0000000
4521937,2022-04-24,9:51,CROSS BRONX EXPY,,,,,0,0,0,0,0,0,0,0,Unspecified,-73.95238,40.85169
4521801,2022-04-24,0:00,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,,BRONX,10453,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.91275,40.861862
4522285,2022-03-08,20:00,,,360       SNEDIKER AVENUE,BROOKLYN,11207,0,0,0,0,0,0,0,0,Unspecified,-73.900215,40.666256
4521853,2022-04-24,15:35,WEST 56 STREET,9 AVENUE,,MANHATTAN,10019,1,0,0,0,1,0,0,0,View Obstructed/Limited,-73.986206,40.767242
4522228,2022-04-22,12:00,AVENUE J,OCEAN PARKWAY,,BROOKLYN,11230,1,0,0,0,0,0,1,0,Unspecified,-73.97048,40.62417
4521702,2022-04-24,13:10,SAINT MARKS AVENUE,6 AVENUE,,,,0,0,0,0,0,0,0,0,Turning Improperly,-73.97491,40.679955
4522167,2022-04-24,4:20,THROOP AVENUE,DE KALB AVENUE,,BROOKLYN,11221,1,0,0,0,0,0,1,0,Traffic Control Disregarded,-73.94282,40.692356
4522196,2022-04-20,19:37,HENRY HUDSON PARKWAY,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,-73.98578,40.78291
4521758,2022-04-24,16:14,ROCKAWAY AVENUE,,,,,0,0,0,0,0,0,0,0,Unspecified,-73.91124,40.67308
4522136,2022-04-12,19:56,UTICA AVENUE,SNYDER AVENUE,,BROOKLYN,11203,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,-73.930214,40.65011
4521469,2022-04-24,0:30,BELT PARKWAY,,,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-74.03668,40.638382
4521859,2022-04-24,20:13,,,102-24    VANWYCK EXPRESSWAY,QUEENS,11419,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,-73.81143,40.69261
4521590,2022-04-24,15:21,THOMSON AVENUE,SKILLMAN AVENUE,,QUEENS,11101,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-73.937706,40.745235
4521902,2022-04-24,10:27,VANWYCK EXPRESSWAY,109 AVENUE,,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,,
4521684,2022-04-24,21:00,21 STREET,37 AVENUE,,QUEENS,11106,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-73.93793,40.758705
